RUC,RAZON_SOCIAL,UBIGEO,DIRECCION,ES_ANEXO,DISTRITO,TIPO_PERSONA
20519777267,MUNDORIEGO SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,040126,C 4 A MAGISTERIAL II ETAPA URB.,0,YANAHUARA,JURIDICA
20559279103,REPWAGEN SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA - REPWAGEN S.R.L.,040129,D 8 SANTO DOMINGO II ETAPA URB.,0,JOSE LUIS BUSTAMANTE Y RIVERO,JURIDICA
20559279448,LOS RODALES TOURS & TRANSFERS SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA - LOS RODALES TOURS S.R,040103,---- . H 6 2 LOS ANGELES DE CAYMA URB.,0,CAYMA,JURIDICA
20559279529,SOFTWARE TOTAL SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA - SOFTOT S.R.L.,040126,R 12 402 PIEDRA SANTA II ETAPA URB.,0,YANAHUARA,JURIDICA
20601874513,MESETA CORPORATIVA SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA - MESETA CORPORATIVA S.R.L.,040112,T 14 ISRAEL ZN A URB.,0,PAUCARPATA,JURIDICA
20455279560,DISTRIBUIDORA Y VENTA DE MATERIALES DE CONSTRUCCION CONTRATISTAS GENERALES A & P S.R.L.,040101,CAL. CONDESUYOS 27 MUNICIPAL URB.,0,AREQUIPA (CERCADO),JURIDICA
20601951780,RD IMPRESIONES SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA - RD IMPRESIONES S.R.L.,040101,CAL. OCTAVIO MUÑOZ NAJAR 220 46,0,AREQUIPA (CERCADO),JURIDICA
20601953235,GASES INDUSTRIALES AQP SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,040104,B UBIC. RUR. OTR.,0,CERRO COLORADO,JURIDICA
20434880310,ARCOBALENO INVERSIONES SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA - ARCOBALENO INVERSIONES SRL,040101,CAL. SAN FRANCISCO 131 CERCADO URB.,0,AREQUIPA (CERCADO),JURIDICA
20609571889,DISTRIBUIDORA DAGUMS E.I.R.L.,040109,OTR. COMANDANTE CANGA 118 SANTA ROSA OTR.,0,MARIANO MELGAR,JURIDICA
20455747091,CORPORACION FOLIAR DEL SUR SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,040129,F 4 LA ESTRELLA URB.,0,JOSE LUIS BUSTAMANTE Y RIVERO,JURIDICA
20456046674,DISTRIBUIDORA PIERINA S.A.C.,040104,PJ. TINTA 110A TUPAC AMARU URB.,0,CERRO COLORADO,JURIDICA
20609479770,COMERCIAL FREDAMAVIC AQP E.I.R.L.,040122,H 19 GRANJA VILLA DEL SUR A.V.,0,SOCABAYA,JURIDICA
20456046836,PERUANA DE TRATAMIENTO DE AGUAS SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA - PERUTRATA S.R.L.,040122,CAL. CALLAO 205 SAN MARTIN URB.,0,SOCABAYA,JURIDICA
20504506780,DISTRIBUIDORA FLORIBELL E.I.R.L.,040107,CAL. LAS GARDENIAS 116 BELLAVISTA OTR.,0,JACOBO HUNTER,JURIDICA
20504433537,VIMEN SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,040101,CAL. MANUEL MUÑOZ NAJAR 112,0,AREQUIPA (CERCADO),JURIDICA
20504385117,PICHACHACUY WAY SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,040101,CAL. H 5 B AURORA URB.,0,AREQUIPA (CERCADO),JURIDICA
20506585890,IMPORTACIONES LAZER SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,040110,CAL. ELIAS AGUIRRE 219,0,MIRAFLORES,JURIDICA
