variable,importancia
pob_2017,0.16148469646129293
dens_hab_km2,0.155746356443567
pob_k1,0.08112685333752122
pob_k1_ext,0.07770597557040577
n_poi_k1,0.06068476638779655
n_colegio_k1,0.05053137815068317
pob_k2,0.049117881478216226
n_mz,0.04389432015380046
dens_intersec_km2,0.03832841020459141
long_princ_m,0.036142233735556265
pob_k3,0.03427578266723056
pct_vial_princ,0.03123000683975819
n_intersec,0.028008859963544717
hab_por_comp_k1,0.025480150817462372
n_nodos,0.019162015880947382
area_km2,0.01705336475135123
long_vial_m,0.015247082515384166
long_vial_km_km2,0.014900127180019346
n_colegio,0.011490323494748251
n_salud_k1,0.007531233859225397
n_culto_k1,0.006395431111265315
n_comida_k1,0.006205516526694454
n_grifo_k1,0.005505272472680035
n_comida,0.005419017316357939
n_comp_osm_k1,0.003256380188594298
n_mercado_k1,0.0025538265574100594
n_salud,0.0020611714880127544
n_culto,0.0018860311783711638
n_banco_k1,0.0017731615826747538
n_panader_k1,0.0016745567870651442
n_transp_k1,0.0012676512543375914
n_grifo,0.000784245169831719
n_comp_osm,0.0007829164321575573
n_mercado,0.0005190763372017211
n_banco,0.0003717707522680259
n_panader,0.0002693483577296872
n_transp,0.00013280659424521284
